"Facility Name","NPDES ID","City","State","CWNS","Amount of Biosolids Generated","Management Practice Type(s)","Amount of Biosolids Managed - Land Applied","Amount of Biosolids Managed - Surface Disposal","Amount of Biosolids Managed - Incinerated","Amount of Biosolids Managed - Other Management Practice","Pathogen Class(es)"
"STEWART CREEK WEST WWTP","TX0103501","WYLIE","TX","48004354016","2356.7","Other Management Practice","","","","2356.7","Not Applicable"
"CITY OF WALLER WWTP","TX0032476","WALLER","TX","48007054001","130.411245","Land Application","130.411245","","","","Class B"
" KOUNTZE WWTP","TX0095478","KOUNTZE","TX","48006036003","0","Other Management Practice","","","","","Not Applicable"
"CITY OF KERRVILLE WWTF","TX0047333","KERRVILLE","TX","48008027001","630.4","Other Management Practice","","","","630.4","Class B"
"CITY OF HARKER HEIGHTS WWTP","TX0024473","HARKER HEIGHTS","TX","48003003001","656.1","Land Application","656.1","","","","Class B"
"CITY OF TOM BEAN WWTP","TX0055212","TOM BEAN","TX","48004086001","17.36","Other Management Practice","","","","17.36","Not Applicable"
"NORTH KUEHLER WWTP","TX0088170","NEW BRAUNFELS","TX","48008028004","532.4","Other Management Practice","","","","532.4","Not Applicable"
"CITY OF GALENA PARK WWTP 1","TX0057185","GALENA PARK","TX","48007528001","142","Other Management Practice","","","","142","Not Applicable"
"CITY OF NEW BOSTON WWTP","TX0026018","NEW BOSTON","TX","48005005001","51.2","Other Management Practice","","","","51.2","Not Applicable"
"HORACE WHATELY WWTP","TX0032344","ATLANTA","TX","48005040001","7.3","Other Management Practice","","","","7.3","Not Applicable"
"CITY OF BURNET WWTF","TX0026484","BURNET","TX","48003059001","178","Land Application","178","","","","Class B"
"CITY OF DIBOLL WWTP","TX0024872","DIBOLL","TX","48006027001","36.9036","Other Management Practice","","","","36.9036","Class B"
"CITY OF JASPER WWTP","TX0024368","JASPER","TX","48006053001","19.2","Land Application, Other Management Practice","19.2","","","2.2","Class A"
"CITY OF OLNEY WWTP","TX0024261","OLNEY","TX","48004221001","100.47","Other Management Practice","","","","100.46","Not Applicable"
"CITY OF BELLVILLE WWTP","TX0020621","BELLVILLE","TX","48007402001","720","Land Application","720","","","","Class A"
"CITY OF GREENVILLE WWTP","TX0055611","GREENVILLE","TX","48005017002","1105.88","Other Management Practice","","","","1105.88","Not Applicable"
"WICHITA FALLS RESOURCES RECOVERY FACILITY","TX0047686","WICHITA FALLS","TX","48004362001","2919.31","Surface Disposal","","2919.31","","","Class B"
"WILSON CREEK REGIONAL WWTF","TX0088633","WYLIE","TX","48004354009","18079.45","Other Management Practice","","","","18079.45","Not Applicable"
"WICHITA FALLS NORTHSIDE WWTP","TX0084557","WICHITA FALLS","TX","48004362002","69.38","Surface Disposal","","69.38","","","Class B"
"CITY OF OGLESBY WWTP","TX0100854","OGLESBY","TX","48003015001","0","Other Management Practice","","","","","Not Applicable"
"ZAPATA COUNTY WATERWORKS SEWER DIVISION WWTP","TX0070211","ZAPATA","TX","48001150001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF TROUP WWTP","TX0033529","TROUP","TX","48005012001","0","Other Management Practice","","","","","Not Applicable"
"POLK STREET WWTP","TX0106551","BEAUMONT","TX","48003123001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF CHICO","TX0023787","CHICO","TX","48004145001","2.86","Other Management Practice","","","","2.86","Not Applicable"
"MOUNTAIN CREEK REG WWTF","TX0025011","ARLINGTON","TX","48000004008","695","Other Management Practice","","","","695","Not Applicable"
"LULING SOUTH WWTP","TX0022772","LULING","TX","48008033001","1.1","Other Management Practice","","","","1.1","Not Applicable"
"MOORE STREET WWTP","TX0047007","BEEVILLE","TX","48001218002","207.924","Land Application","207.924","","","","Class B"
"CITY OF CLEBURNE WWTF","TX0047155","CLEBURNE","TX","48004092001","638.03","Other Management Practice","","","","638.03","Not Applicable"
"CENTRAL WWTF","TX0021369","BACLIFF","TX","48007024001","66.73","Other Management Practice","","","","66.73","Not Applicable"
"SOUTH MESQUITE CREEK WWTP","TX0047431","WYLIE","TX","48004354004","7358.43","Other Management Practice","","","","7358.43","Not Applicable"
"WEST WWTP","TX0053473","CLEVELAND","TX","48007057002","481.19","Other Management Practice","","","","481.19","Class B"
"CITY OF SEMINOLE WWTP","TX0123315","SEMINOLE","TX","48002064001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF LULING NORTH WWTF","TX0022764","LULING","TX","48008033002","1.4","Other Management Practice","","","","1.4","Not Applicable"
"BOB DERRINGTON WATER RECLAMATION PLANT","TX0072800","ODESSA","TX","48001003002","982.7","Other Management Practice","","","","982.7","Not Applicable"
"HARLINGEN WWTP","TX0047929","HARLINGEN","TX","48001104003","1360.477","Land Application, Surface Disposal","73.35","1287.127","","","Class B"
"CITY OF JOSEPHINE WWTF","TX0027502","JOSEPHINE","TX","48004008001","0","Other Management Practice","","","","","Not Applicable"
"TOWN OF PONDER WWTP","TX0123862","PONDER","TX","48004058001","58.35","Other Management Practice","","","","58.35","Not Applicable"
"TOWN OF WOODSBORO WWTP","TX0032638","WOODSBORO","TX","48001247001","2.25","Other Management Practice","","","","2.25","Not Applicable"
"CITY OF CADDO MILLS WWTF","TX0128392","CADDO MILLS","TX","48005033001","31.5","Other Management Practice","","","","31.5","Class B"
"CITY OF FLORESVILLE WWTP","TX0056227","FLORESVILLE","TX","48008063001","707.55","Other Management Practice","","","","707.55","Not Applicable"
"CITY OF COOPER - WWTP","TX0027936","COOPER","TX","48005057001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF MCALLEN NORTH WWTP","TX0093106","MCALLEN","TX","48001119002","1302.06","Land Application","1302.06","","","","Class B"
"SEYMOUR WWTP","TX0026522","SEYMOUR","TX","48004225001","47.11","Other Management Practice","","","","47.11","Not Applicable"
"KENDALL COUNTY WCID 1 WWTP","TX0116742","COMFORT","TX","48008174001","181.05","Other Management Practice","","","","181.05","Not Applicable"
"CITY OF REDWATER WWTP","TX0056251","REDWATER","TX","48005137001","2.6","Other Management Practice","","","","2.56","Not Applicable"
"CITY OF ARP WWTP","TX0054194","ARP","TX","48005008001","0.08","Other Management Practice","","","","0.08","Not Applicable"
"CITY OF HOLLAND WWTF","TX0046612","HOLLAND","TX","48003004001","3223","Other Management Practice","","","","3223","Not Applicable"
"CITY OF PEARSALL WWTP","TX0032719","PEARSALL","TX","48001151001","148.8","Other Management Practice","","","","148.8","Not Applicable"
"LAKEVIEW REGIONAL WATER RECLAMATION","TX0020354","LEWISVILLE","TX","48001132001","1207","Other Management Practice","","","","1207","Not Applicable"
"WALLACE R. KNOX WWTP","TX0023949","TEXAS CITY","TX","48007032001","1643.45","Other Management Practice","","","","1643.45","Class B"
"CITY OF NORMANGEE WWTF","TX0027448","NORMANGEE","TX","48003104001","91.83","Other Management Practice","","","","91.83","Not Applicable"
"KENEDY WWTF","TX0027774","KENEDY","TX","48008034001","94.6","Other Management Practice","","","","94.6","Not Applicable"
"TOWN PLANT WWTP","TX0024848","IREDELL","TX","48003092001","18","Surface Disposal","","18","","","Class A"
"CITY OF CRANFILLS GAP WWTP","TX0122360","CRANFILLS GAP","TX","48003146001","14.6","Surface Disposal","","14.6","","","Class A"
"NORTHWEST WATER RECLAMATION PLANT","TX0135054","LUBBOCK","TX","48002005002","0","Other Management Practice","","","","","Not Applicable"
"CITY OF BOGATA RECLAMATION WWT","TX0022322","BOGATA","TX","48005048001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF KRUM WWTF","TX0024198","KRUM","TX","48004053001","9.15","Other Management Practice","","","","9.15","Class B"
"SOUTHEAST WATER RECLAMATION PLANT","TX0106071","LUBBOCK","TX","48002005001","3641","Other Management Practice","","","","3641","Class B"
"GALVESTON COUNTY WCID 1 WWTP","TX0023655","DICKINSON","TX","48007025001","500.7","Other Management Practice","","","","500.7","Class B"
"CITY OF AVINGER WWTP","TX0071803","AVINGER","TX","48005042001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF CHANDLER WWTP","TX0033499","CHANDLER","TX","48005112001","24.6","Other Management Practice","","","","24.6","Not Applicable"
"CITY OF ORE CITY  WWTF","TX0024236","ORE CITY","TX","48005031001","0","Other Management Practice","","","","","Not Applicable"
"MARION WWTP","TX0022675","MARION","TX","48008023001","3.9","Other Management Practice","","","","3.9","Not Applicable"
"CITY OF ARCHER CITY WWTP","TX0054518","ARCHER CITY","TX","48004366001","24.85","Other Management Practice","","","","24.85","Class A"
"JOHNSON COUNTY  SUD WWTP","TX0124923","CLEBURNE","TX","48004095001","78.88","Other Management Practice","","","","78.88","Not Applicable"
"CITY OF LEXINGTON WWTF","TX0054429","LEXINGTON","TX","48003126001","0","Other Management Practice","","","","","Not Applicable"
"TOWN OF VAN HORN SEWAGE TREATMENT PLANT","TX0107867","VAN HORN","TX","48001023001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF GODLEY WWTP","TX0104558","GODLEY","TX","48004093001","170","Other Management Practice","","","","271","Class A"
"HURRICANE CREEK WWTP","TX0024309","LUFKIN","TX","48006021001","1050.341","Other Management Practice","","","","1050.341","Class B"
"CITY OF NATALIA WWTP","TX0068632","NATALIA","TX","48008072001","28.4","Other Management Practice","","","","28.4","Not Applicable"
"STEPHENVILLE WWTP","TX0024228","STEPHENVILLE","TX","48003113001","308","Other Management Practice","","","","308","Not Applicable"
"CITY OF CUMBY WWTP","TX0052981","CUMBY","TX","48005058001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF DE LEON WWTP","TX0054844","DELEON","TX","48003073001","67.57","Other Management Practice","","","","67.57","Not Applicable"
"CITY OF GUSTINE WWTP","TX0117722","GUSTINE","TX","48003087001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF SOUR LAKE WWTP","TX0023876","SOUR LAKE","TX","48006037001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF KOSSE WWTP","TX0105015","KOSSE","TX","48003094001","13.18","Other Management Practice","","","","13.18","Class B"
"CITYOF ODEM WWTP","TX0126641","ODEM","TX","48001211001","56.88","Other Management Practice","","","","56.88","Class A"
"CITY OF TRINIDAD WWTP","TX0054585","TRINIDAD","TX","48005100001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF THORNTON WWTP","TX0075639","THORNTON","TX","48003118001","0","Other Management Practice","","","","","Not Applicable"
"CITY OF MARLIN WWTP","TX0021725","MARLIN","TX","48003099001","0","Other Management Practice","","","","","Not Applicable"
"CONROE SOUTHWEST REGIONAL WWTF","TX0022268","CONROE","TX","48007061001","1791.61","Other Management Practice","","","","1791.61","Class A"
"CITY OF LA COSTE WWTP","TX0107743","LA COSTE","TX","48008185001","59.7","Other Management Practice","","","","59.7","Class B"
"COPPERAS COVE SOUTH WWTF","TX0067873","COPPERAS COVE","TX","48003011003","107.78","Other Management Practice","","","","107.78","Class A"
"CANTON WWTP","TX0099112","CANTON","TX","48005052001","238.68","Other Management Practice","","","","238.68","Not Applicable"
"CITY OF KAUFMAN WWTP","TX0079391","KAUFMAN","TX","48004101001","384.99","Other Management Practice","","","","384.99","Not Applicable"
"ROMAN FOREST MUD WWTF","TX0093220","NEW CANEY","TX","48007822001","17.37","Other Management Practice","","","","17.37","Class A"
"MIDLAND WATER POLLUTION CONTROL 1 WWTP","TX0138517","MIDLAND","TX","48001002001","1232.14","Land Application, Other Management Practice","372.02","","","860.12","Class B"
"COPPERAS COVE NORTHWEST WWTP","TX0069841","COPPERAS COVE","TX","48003011002","112.8","Other Management Practice","","","","511.65","Class A"
"BUFFALO CREEK WWTP","TX0078565","WYLIE","TX","48004354008","1589.07","Other Management Practice","","","","1589.07","Not Applicable"
"SQUABBLE CREEK WWTF","TX0022241","WYLIE","TX","48004354010","67.44","Other Management Practice","","","","67.44","Not Applicable"
"GREGORY WWTP","TX0083062","GREGORY","TX","48001208001","38.58","Land Application","38.58","","","","Class B"
"CITY OF COLUMBUS WWTP","TX0022900","COLUMBUS","TX","48008055001","60","Other Management Practice","","","","60","Class A"
"COPPERAS COVE NORTHEAST WWTP","TX0069850","COPPERAS COVE","TX","48003011001","190.73","Other Management Practice","","","","190.73","Class A"
"HUGHES SPRINGS WWTF","TX0052876","HUGHES SPRINGS","TX","48005074001","12.9","Other Management Practice","","","","12.9","Not Applicable"
"CITY OF LAKEPORT WWTP","TX0128856","LAKEPORT","TX","48005077001","1.03","Other Management Practice","","","","1.03","Not Applicable"
"CITY OF OMAHA WWTP","TX0071633","OMAHA","TX","48005089001","12.6","Other Management Practice","","","","12.6","Not Applicable"
"SU-REGIONAL WWTF PLANT","TX0025062","HOUSTON","TX","48007089001","751","Other Management Practice","","","","751","Not Applicable"
"MCALLEN SOUTH WWTP","TX0047449","MCALLEN","TX","48001119001","829.86","Land Application","829.86","","","","Class B"
"CITY OF DE KALB WWTP","TX0069671","DE KALB","TX","48005001001","3.5","Other Management Practice","","","","3.5","Not Applicable"
"CITY OF WHITE OAK WWTF","TX0026531","WHITE OAK","TX","48005106001","119.73","Other Management Practice","","","","119.73","Class B"
"CITY OF ITALY WWTF","TX0123056","ITALY","TX","48004067001","320","Other Management Practice","","","","320","Not Applicable"
"CITY OF LAKE JACKSON WWTF","TX0025798","LAKE JACKSON","TX","48007011001","293.91","Land Application","587.82","","","","Class A"
"CITY OF CUERO WWTP","TX0024244","CUERO","TX","48008056001","114.18","Other Management Practice","","","","114.18","Not Applicable"
"GUNTER CREEK WWTF","TX0027227","GUNTER","TX","48004079001","0","Other Management Practice","","","","","Not Applicable"
"ACTON MUD WWTP","TX0105155","GRANBURY","TX","48003116001","103.336","Other Management Practice","","","","88.251","Not Applicable"
"CITY OF KIRBYVILLE WWTF","TX0023574","KIRBYVILLE","TX","48006054001","126.6","Other Management Practice","","","","20","Class B"
"WATER RECLAMATION FACILITY","TX0132560","FREDERICKSBURG","TX","48009001001","262.1","Other Management Practice","","","","262.1","Not Applicable"
"BAYVIEW MUD WWTP","TX0021822","BACLIFF","TX","48007072001","3","Land Application","3","","","","Class B"
"SAN AUGUSTINE WWTF","TX0022349","SAN AUGUSTINE","TX","48006026001","0","Other Management Practice","","","","","Class B"
"UPPER MARTINEZ CREEK WWTF","TX0024082","SAN ANTONIO","TX","48008045002","422.64","Other Management Practice","","","","422.64","Not Applicable"
"CITY OF GOLDTHWAITE WWTP","TX0052841","GOLDTHWAITE","TX","48003082001","12.15","Other Management Practice","","","","12.15","Not Applicable"
"VICTORIA REGIONAL WWTP","TX0025186","VICTORIA","TX","48000005001","2407.4","Other Management Practice","","","","2584.7","Not Applicable"
"CITY OF POTTSBORO  WWTP","TX0068756","POTTSBORO","TX","48004082001","1080","Other Management Practice","","","","1080","Not Applicable"
"SOUTHEAST WWTP","TX0035009","HOUSTON","TX","48007039025","825.94","Other Management Practice","","","","825.94","Not Applicable"
"CITY OF SEADRIFT WWTP","TX0026671","SEADRIFT","TX","48001243001","5.32","Other Management Practice","","","","5.32","Not Applicable"
"CITY OF JEFFERSON WWTP","TX0024902","JEFFERSON","TX","48005076001","107.71","Other Management Practice","","","","107.71","Class B"
"CITY OF DANBURY CENTRAL WWTP","TX0056707","DANBURY","TX","48007423001","73.14","Other Management Practice","","","","73.14","Not Applicable"
"ODEM STREET WWTP","TX0132829","VICTORIA","TX","48001221002","176.1","Other Management Practice","","","","176.1","Not Applicable"
"CITY OF BLUE RIDGE WWTF","TX0026808","BLUE RIDGE","TX","48004003001","13.6","Other Management Practice","","","","13.6","Not Applicable"
"CITY OF BROWNWOOD WWTP","TX0047040","BROWNWOOD","TX","48009005001","1218","Other Management Practice","","","","1218","Class B"
"DAYTON SOUTHWEST WWTF","TX0100170","DAYTON","TX","48007059003","362.9","Other Management Practice","","","","362.9","Class B"
"NORTHSIDE WWTF","TX0052931","LINDALE","TX","48005010001","133.22","Other Management Practice","","","","133.22","Not Applicable"
"CITY OF SANGER WWTP","TX0022403","SANGER","TX","48004060001","713.07","Surface Disposal","","713","","","Class A"
